detid_X,detid_Y,DISTANCE
M_0038_0191,M_0038_0191,0.0
M_0038_0191,M_0191_0038,0.0
M_0038_0191,M_0039_0038,937.17
M_0038_0191,M_0037_0038,432.557
M_0038_0191,M_0038_0037,432.557
M_0038_0191,M_0108_0478_0479,4019.734
M_0038_0191,M_0032_0323,1499.5580000000002
M_0038_0191,M_0323_0032,1499.5580000000002
M_0038_0191,M_0015_0159,1208.048
M_0038_0191,M_0821_0159,1320.4340000000002
M_0038_0191,M_0821_0190,1320.4340000000002
M_0038_0191,M_0011_0308,938.832
M_0038_0191,M_0308_0011,938.832
M_0038_0191,M_0852_0191,553.932
M_0038_0191,M_0191_0852,553.932
M_0038_0191,M_0037_0779_0039_U,432.557
M_0191_0038,M_0038_0191,0.0
M_0191_0038,M_0191_0038,0.0
M_0191_0038,M_0039_0038,937.17
M_0191_0038,M_0037_0038,432.557
M_0191_0038,M_0038_0037,432.557
M_0191_0038,M_0108_0478_0479,4019.734
M_0191_0038,M_0032_0323,1499.5580000000002
M_0191_0038,M_0323_0032,1499.5580000000002
M_0191_0038,M_0015_0159,1208.048
M_0191_0038,M_0821_0159,1320.4340000000002
M_0191_0038,M_0821_0190,1320.4340000000002
M_0191_0038,M_0011_0308,938.832
M_0191_0038,M_0308_0011,938.832
M_0191_0038,M_0852_0191,553.932
M_0191_0038,M_0191_0852,553.932
M_0191_0038,M_0037_0779_0039_U,432.557
M_0039_0038,M_0038_0191,1158.744
M_0039_0038,M_0191_0038,1158.744
M_0039_0038,M_0039_0038,0.0
M_0039_0038,M_0037_0038,934.0109999999996
M_0039_0038,M_0038_0037,934.0109999999996
M_0039_0038,M_0108_0478_0479,3776.634
M_0039_0038,M_0032_0323,562.388
M_0039_0038,M_0323_0032,562.388
M_0039_0038,M_0015_0159,1840.101
M_0039_0038,M_0821_0159,1952.4870000000003
M_0039_0038,M_0821_0190,1952.4870000000003
M_0039_0038,M_0011_0308,1298.0869999999998
M_0039_0038,M_0308_0011,1298.0869999999998
M_0039_0038,M_0852_0191,1136.955
M_0039_0038,M_0191_0852,1136.955
M_0039_0038,M_0037_0779_0039_U,934.0109999999996
M_0037_0038,M_0038_0191,846.3089999999999
M_0037_0038,M_0191_0038,846.3089999999999
M_0037_0038,M_0039_0038,504.61300000000006
M_0037_0038,M_0037_0038,0.0
M_0037_0038,M_0038_0037,0.0
M_0037_0038,M_0108_0478_0479,4069.732
M_0037_0038,M_0032_0323,1067.0009999999995
